codigo,SUB-01,SUB-02,SUB-03,SUB-04,SUB-05,SUB-06,SUB-07,SUB-08,SUB-09,SUB-10,SUB-11,SUB-12,SUB-13,SUB-14,SUB-15,SUB-16,SUB-17
EV2-PAC-01,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1
EV2-PAC-03,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1
EV2-PAC-04,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1
EV2-PAC-05,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
EV2-PAC-06,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
EV2-PAC-07,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
EV2-PAC-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
EV2-PAC-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
EFT-01,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
EFT-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
EFT-03,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
FAM-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
FAM-02,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
FAM-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FAM-04,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
FIS-01,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0
WALK-NTEC-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
WALK-TEC-01,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0
