"codigo","tipo","archivo","ruta_relativa","duracion_segundos","formato","codec_video","codec_audio","tamano_bytes","sha256","ubicacion_deposito","url_descarga"
"EFT-01_Entrevista Parte 2","Audio","EFT-01_Entrevista Parte 2.mp3","02_Audios_Originales\EFT-01_Entrevista Parte 2.mp3","478.752","mp3","","mp3","7660170","1318E76D7A9D672CC8D36567AC7CB0FF7CAB71FA20C8C516293C4C5F18DC8AA8","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EFT-01_Entrevista","Audio","EFT-01_Entrevista.mp3","02_Audios_Originales\EFT-01_Entrevista.mp3","550.248","mp3","","mp3","8804106","DB2C0EBBCF829E35BFE55CA2B109B4E206A085FEB2B38BA0688D497CD2EF2103","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EFT-02_Entrevista","Audio","EFT-02_Entrevista.mp3","02_Audios_Originales\EFT-02_Entrevista.mp3","1047.264","mp3","","mp3","16756362","14078223109582F393B58723BB9288FBD223BFBCE5B73544488F0BCAC95E5108","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EFT-03_Entrevista","Audio","EFT-03_Entrevista.mp3","02_Audios_Originales\EFT-03_Entrevista.mp3","838.872","mp3","","mp3","13422090","4780C2C3D67814F87A5616F9A5965880EF9AE5D70BF8B71313FA5619BD434F2A","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EV2-PAC-01_Entrevista","Audio","EV2-PAC-01_Entrevista.mp3","02_Audios_Originales\EV2-PAC-01_Entrevista.mp3","285.909","mp3","","mp3","4575306","3888A1FB169E179F80CD556EDFD9F434590AB0B32753F6D174C6921CCFFB4FC9","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EV2-PAC-01_Walktrough","Audio","EV2-PAC-01_Walktrough.mp3","02_Audios_Originales\EV2-PAC-01_Walktrough.mp3","126.168","mp3","","mp3","2018826","21FF748A665D2763F2EFF2E3408209278ED334C905EA4B69213967EF889C0907","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EV2-PAC-03_Entrevista","Audio","EV2-PAC-03_Entrevista.mp3","02_Audios_Originales\EV2-PAC-03_Entrevista.mp3","257.344","mp3","","mp3","4118346","92CA6A826EB98518F3E571055B66B54A9F3892ADDF532A7F6D2BA5AA71469B4F","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EV2-PAC-03_Walkthrough","Audio","EV2-PAC-03_Walkthrough.mp3","02_Audios_Originales\EV2-PAC-03_Walkthrough.mp3","207.096","mp3","","mp3","3313674","327B0B5E06CA1F9A43562FA5C4C979FA203AF6CE42A085F2A1764CB8A4FB10CC","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EV2-PAC-04_Entrevista","Audio","EV2-PAC-04_Entrevista.mp3","02_Audios_Originales\EV2-PAC-04_Entrevista.mp3","444.864","mp3","","mp3","7118538","0288ED21212BBCFEDC198E724221C046ADFED0E8467825B5664E25D119788DB0","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EV2-PAC-04_Walkthrough","Audio","EV2-PAC-04_Walkthrough.mp3","02_Audios_Originales\EV2-PAC-04_Walkthrough.mp3","244.752","mp3","","mp3","3916170","E12264EF09B55B836378E02117C8CBD531358A271755574CBD5A3D18DADB646C","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EV2-PAC-05_Entrevista","Audio","EV2-PAC-05_Entrevista.m4a","02_Audios_Originales\EV2-PAC-05_Entrevista.m4a","788.523","m4a","","aac","8154941","759C9DDF94AF2CF31F5C3281B903B7D8BE19A95EB0DC3214948392ABA0F2E712","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EV2-PAC-05_Walktrough","Audio","EV2-PAC-05_Walktrough.mp3","02_Audios_Originales\EV2-PAC-05_Walktrough.mp3","263.400","mp3","","mp3","4214538","03777338B01DB95110DDA9E1BDF724D5435E7180B5D356B794BC0373C19E8081","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EV2-PAC-06_Entrevista","Audio","EV2-PAC-06_Entrevista.m4a","02_Audios_Originales\EV2-PAC-06_Entrevista.m4a","735.040","m4a","","aac","7539804","E46DA5178A62A53A2AFA72D6598E320B1E7323FCAAA278B16997D562E3B1AB5A","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EV2-PAC-06_Walktrough","Audio","EV2-PAC-06_Walktrough.mp3","02_Audios_Originales\EV2-PAC-06_Walktrough.mp3","165.528","mp3","","mp3","2648586","21DA8868BA11EC99F6F11A55E61F8960D4055D086E0872EA2D433BDE712810E5","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EV2-PAC-07_Entrevista","Audio","EV2-PAC-07_Entrevista.m4a","02_Audios_Originales\EV2-PAC-07_Entrevista.m4a","565.760","m4a","","aac","5758033","1726F0955DE3AA04355F8F437B677DAF1D1CD80EA88AFA151954825140CCEC02","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EV2-PAC-07_Walktrough","Audio","EV2-PAC-07_Walktrough.mp3","02_Audios_Originales\EV2-PAC-07_Walktrough.mp3","189.264","mp3","","mp3","3028362","68BABBE359E854DF56D9729F94CEF0A905EDE52AD8C8445332E0903AA8B37F02","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EV2-PAC-08_Entrevista","Audio","EV2-PAC-08_Entrevista.m4a","02_Audios_Originales\EV2-PAC-08_Entrevista.m4a","600.405","m4a","","aac","6154346","1B4428109CE710C79EFF5A0CF87A11036E6C542E2358D23415AC3B4B9E995E9F","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
"EV2-PAC-09_Entrevista","Audio","EV2-PAC-09_Entrevista.m4a","02_Audios_Originales\EV2-PAC-09_Entrevista.m4a","456.597","m4a","","aac","4699552","6936C02F53AAAEEE8A48F4AE7D366A3002AF0A71DD07F4BB4B5FBDB2DEAE5858","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z","https://github.com/gleiston-guerrero/SICST_ISR401/releases/download/evidencias-2B/evidencias_restringidas.7z"
