archivo_origen,tipo,referencia,estado,resuelto_como
README.md,backtick_ruta,10_Autoria/declaracion_cambio_composicion_equipo.md,OK,10_Autoria/declaracion_cambio_composicion_equipo.md
README.md,backtick_ruta,01_ERS/,OK,01_ERS
README.md,backtick_ruta,02_Evidencias/,OK,02_Evidencias
README.md,backtick_ruta,02_Evidencias/00_Restringido/,OK,02_Evidencias/00_Restringido
README.md,backtick_ruta,04_Trazabilidad/,OK,04_Trazabilidad
README.md,backtick_ruta,03_Modelado/,OK,03_Modelado
README.md,backtick_ruta,05_MVP/,OK,05_MVP
README.md,backtick_ruta,06_Experimento/,OK,06_Experimento
README.md,backtick_ruta,06_Experimento/osf_deviations.pdf,OK,06_Experimento/osf_deviations.pdf
README.md,backtick_ruta,07_Publicacion/,OK,07_Publicacion
README.md,backtick_ruta,07_Publicacion/dataset_zenodo/,OK,07_Publicacion/dataset_zenodo
README.md,backtick_ruta,08_Etica/,OK,08_Etica
README.md,backtick_ruta,09_Defensa/,OK,09_Defensa
README.md,backtick_ruta,10_Autoria/declaracion_uso_ia.md,OK,10_Autoria/declaracion_uso_ia.md
README.md,backtick_ruta,10_Autoria/,OK,10_Autoria
README.md,backtick_ruta,07_Datos/,OK,07_Datos
CHANGELOG.md,backtick_ruta,10_Autoria/declaracion_cambio_composicion_equipo.md,OK,10_Autoria/declaracion_cambio_composicion_equipo.md
CHANGELOG.md,backtick_ruta,06_Experimento/osf_deviations.pdf,OK,06_Experimento/osf_deviations.pdf
CHANGELOG.md,backtick_ruta,06_Experimento/registro_previo/osf_registration.pdf,OK,06_Experimento/registro_previo/osf_registration.pdf
CHANGELOG.md,backtick_ruta,10_Autoria/,OK,10_Autoria
CHANGELOG.md,backtick_ruta,07_Datos/,OK,07_Datos
CHANGELOG.md,backtick_ruta,07_Datos/checksums_datos.sha256,OK,07_Datos/checksums_datos.sha256
CHANGELOG.md,backtick_ruta,04_Trazabilidad/README.md,OK,04_Trazabilidad/README.md
CHANGELOG.md,backtick_ruta,07_Datos/README_datos.md,OK,07_Datos/README_datos.md
CHANGELOG.md,backtick_ruta,07_Datos/manifiesto_datos.csv,OK,07_Datos/manifiesto_datos.csv
CHANGELOG.md,backtick_ruta,07_Datos/scripts/orquestar.py,OK,07_Datos/scripts/orquestar.py
07_Publicacion/manuscrito_final.tex,latex,figuras/figura_comparacion_pareada.png,OK,07_Publicacion/figuras/figura_comparacion_pareada.png
07_Publicacion/manuscrito_final.tex,latex,references,OK,07_Publicacion/references.bib
07_Publicacion/README_manuscrito.md,backtick_ruta,06_Experimento/,OK,06_Experimento
07_Publicacion/README_manuscrito.md,backtick_ruta,06_Experimento/prompts_llm/,OK,06_Experimento/prompts_llm
07_Publicacion/README_manuscrito.md,backtick_ruta,07_Publicacion/,OK,07_Publicacion
07_Publicacion/README.md,backtick_ruta,../06_Experimento/registro_previo/osf_registration.pdf,OK,06_Experimento/registro_previo/osf_registration.pdf
07_Publicacion/README.md,backtick_ruta,../06_Experimento/osf_deviations.pdf,OK,06_Experimento/osf_deviations.pdf
07_Publicacion/README.md,backtick_ruta,07_Publicacion/,OK,07_Publicacion
07_Publicacion/README.md,backtick_ruta,../06_Experimento/,OK,06_Experimento
07_Publicacion/README.md,backtick_ruta,../02_Evidencias/00_Restringido/,OK,02_Evidencias/00_Restringido
07_Publicacion/prompt_generacion_RF_llm.md,backtick_ruta,02_Evidencias/Transcripciones/,OK,02_Evidencias/Transcripciones
08_Etica/README.md,markdown,declaracion_desviacion_etica.md,OK,08_Etica/declaracion_desviacion_etica.md
08_Etica/README.md,backtick_ruta,08_Etica/,OK,08_Etica
08_Etica/README.md,backtick_ruta,08_Etica/declaracion_desviacion_etica.md,OK,08_Etica/declaracion_desviacion_etica.md
04_Trazabilidad/README.md,backtick_ruta,01_ERS/componentes_IA/requisitos_no_funcionales_ia.csv,OK,01_ERS/componentes_IA/requisitos_no_funcionales_ia.csv
04_Trazabilidad/README.md,backtick_ruta,01_ERS/componentes_IA/,OK,01_ERS/componentes_IA
04_Trazabilidad/README.md,backtick_ruta,04_Trazabilidad/Matriz_Trazabilidad_Final.csv,OK,04_Trazabilidad/Matriz_Trazabilidad_Final.csv
04_Trazabilidad/README.md,backtick_ruta,04_Trazabilidad/priorizacion_moscow_kano.csv,OK,04_Trazabilidad/priorizacion_moscow_kano.csv
07_Datos/desviaciones.md,backtick_ruta,07_Datos/datos_crudos/respuestas_cuestionario_2B.csv,OK,07_Datos/datos_crudos/respuestas_cuestionario_2B.csv
07_Datos/desviaciones.md,backtick_ruta,07_Datos/scripts/,OK,07_Datos/scripts
